NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047180717	na	591	0.5117592811584473	0.12994382	Yes	
row_1	XM_047163608	na	665	0.491892546415329	0.28631732	Yes	
row_2	XM_047175635	na	689	0.48559054732322693	0.4438068	Yes	
row_3	XM_047186305	na	1630	0.3497120141983032	0.49851823	Yes	
row_4	XM_047174296	na	2441	0.2882551848888397	0.5413776	Yes	
row_5	XM_047164499	na	2903	0.23957738280296326	0.5904912	Yes	
row_6	XM_047165417	na	4940	0.08123105764389038	0.48763868	No	
row_7	XM_047165387	na	5278	0.05874257907271385	0.48544192	No	
row_8	XM_047174322	na	5762	0.023925215005874634	0.46256593	No	
row_9	XM_047178534	na	6024	0.003776303492486477	0.4472085	No	
row_10	XM_047180718	na	7153	0.0	0.37549382	No	
row_11	XM_047186132	na	7464	0.0	0.355785	No	
row_12	XM_047179054	na	8959	-0.08618711680173874	0.28901345	No	
row_13	XM_047164506	na	9005	-0.08962898701429367	0.31549138	No	
row_14	XM_047176119	na	12038	-0.344677597284317	0.23555213	No	
