NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047168510	na	4421	0.11687304079532623	-0.26205456	No	
row_1	XM_047174272	na	5639	0.034436147660017014	-0.33382207	No	
row_2	XM_047170186	na	6494	0.0	-0.38813397	No	
row_3	XM_047170187	na	6495	0.0	-0.38813397	No	
row_4	XM_047175396	na	6808	0.0	-0.40797624	No	
row_5	XM_047175397	na	6809	0.0	-0.40797624	No	
row_6	XM_047177114	na	6921	0.0	-0.41503552	No	
row_7	XM_047178016	na	6964	0.0	-0.41770658	No	
row_8	XM_047184496	na	7381	0.0	-0.44416296	No	
row_9	XM_047181432	na	12526	-0.38510534167289734	-0.7083439	Yes	
row_10	XM_047171005	na	12531	-0.38546258211135864	-0.6455776	Yes	
row_11	XM_047186195	na	12675	-0.395932674407959	-0.58993953	Yes	
row_12	XM_047186190	na	12771	-0.40716636180877686	-0.52941215	Yes	
row_13	XM_047176981	na	13300	-0.4662240445613861	-0.48676673	Yes	
row_14	XM_047166477	na	14326	-0.5591886639595032	-0.46052992	Yes	
row_15	XM_047171110	na	14490	-0.578199028968811	-0.3763644	Yes	
row_16	XM_047178015	na	14540	-0.5882470011711121	-0.28330603	Yes	
row_17	XM_047168221	na	14602	-0.5997960567474365	-0.18912262	Yes	
row_18	XM_047174714	na	15282	-0.7617415189743042	-0.10776512	Yes	
row_19	XM_047186395	na	15427	-0.8380743861198425	0.020096712	Yes	
