NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047173339	na	2048	0.6282370686531067	-0.03225574	No	
row_1	XM_047171321	na	4390	0.3431686460971832	-0.12758504	No	
row_2	XM_047162885	na	5789	0.15727752447128296	-0.19194402	No	
row_3	XM_047163512	na	9761	-0.05974781513214111	-0.4350922	No	
row_4	XM_047166417	na	10014	-0.0831107497215271	-0.43815562	No	
row_5	XM_047184182	na	10079	-0.08819887042045593	-0.4284733	No	
row_6	XM_047170513	na	10229	-0.1007574051618576	-0.42223698	No	
row_7	XM_047172976	na	11234	-0.19453604519367218	-0.45573762	No	
row_8	XM_047184643	na	11825	-0.26911818981170654	-0.45128924	No	
row_9	XM_047175636	na	13291	-0.4262067675590515	-0.47797862	Yes	
row_10	XM_047171534	na	14590	-0.6619903445243835	-0.4572892	Yes	
row_11	XM_047169421	na	14677	-0.683679461479187	-0.35616305	Yes	
row_12	XM_047170512	na	14898	-0.749235987663269	-0.25333518	Yes	
row_13	XM_047174326	na	15182	-0.8541833758354187	-0.13815013	Yes	
row_14	XM_047183454	na	15587	-1.1144322156906128	0.0099180415	Yes	
