NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047186008	na	62	1.4379830360412598	0.081135936	Yes	
row_1	XM_047166229	na	158	1.2264245748519897	0.14765127	Yes	
row_2	XM_047167280	na	575	0.9452804923057556	0.17707877	Yes	
row_3	XM_047171527	na	767	0.8493460416793823	0.21516556	Yes	
row_4	XM_047167220	na	1130	0.7346638441085815	0.23557134	Yes	
row_5	XM_047171862	na	1266	0.6939836740493774	0.26803327	Yes	
row_6	XM_047177178	na	1429	0.6622651815414429	0.2968981	Yes	
row_7	XM_047176687	na	1617	0.6410685181617737	0.32291585	Yes	
row_8	XM_047164360	na	1742	0.6124481558799744	0.35125414	Yes	
row_9	XM_047171103	na	3152	0.3752251863479614	0.2836826	No	
row_10	XM_047175109	na	3317	0.37061432003974915	0.29516286	No	
row_11	XM_047171925	na	3379	0.3689509630203247	0.3131073	No	
row_12	XM_047174479	na	3627	0.3615422248840332	0.31876248	No	
row_13	XM_047181892	na	3838	0.35110196471214294	0.3261573	No	
row_14	XM_047180665	na	3889	0.34866470098495483	0.34360227	No	
row_15	XM_047176581	na	4093	0.3169833719730377	0.34942427	No	
row_16	XM_047174481	na	5600	0.12513944506645203	0.26087472	No	
row_17	XM_047169459	na	5686	0.11463811248540878	0.2622422	No	
row_18	XM_047186046	na	6201	0.0532798171043396	0.2326455	No	
row_19	XM_047172230	na	6223	0.050684936344623566	0.23430656	No	
row_20	XM_047174275	na	6315	0.03937773033976555	0.23083852	No	
row_21	XM_047169458	na	6394	0.031390924006700516	0.2277262	No	
row_22	XM_047174475	na	6431	0.027578288689255714	0.22706431	No	
row_23	XM_047165319	na	6502	0.02161550149321556	0.22388329	No	
row_24	XM_047174267	na	6573	0.015213358215987682	0.22032346	No	
row_25	XM_047177982	na	6725	0.00629387516528368	0.21107496	No	
row_26	XM_047172601	na	7808	0.0	0.14213581	No	
row_27	XM_047173839	na	7947	0.0	0.1333432	No	
row_28	XM_047173897	na	7949	0.0	0.1332795	No	
row_29	XM_047174253	na	7980	0.0	0.13136806	No	
row_30	XM_047174255	na	7981	0.0	0.13136806	No	
row_31	XM_047175912	na	8147	0.0	0.12085516	No	
row_32	XM_047176582	na	8216	0.0	0.116522565	No	
row_33	XM_047176686	na	8227	0.0	0.11588542	No	
row_34	XM_047176058	na	9877	-0.021909041330218315	0.012116488	No	
row_35	XM_047174483	na	10091	-0.04545627906918526	0.0012349599	No	
row_36	XM_047164741	na	10477	-0.09332120418548584	-0.017773278	No	
row_37	XM_047162995	na	11170	-0.17507992684841156	-0.051504176	No	
row_38	XM_047185310	na	11433	-0.20921355485916138	-0.05581811	No	
row_39	XM_047184143	na	11789	-0.2542380690574646	-0.06339338	No	
row_40	XM_047173896	na	12372	-0.3396194577217102	-0.08037978	No	
row_41	XM_047181487	na	12563	-0.3472333252429962	-0.07193956	No	
row_42	XM_047183136	na	12582	-0.3472333252429962	-0.052540436	No	
row_43	XM_047163302	na	14670	-0.6403502225875854	-0.14762284	No	
row_44	XM_047179107	na	14751	-0.6563979387283325	-0.11388059	No	
row_45	XM_047172228	na	14820	-0.6707093119621277	-0.07852694	No	
row_46	XM_047164742	na	14874	-0.6819677352905273	-0.04155141	No	
row_47	XM_047167140	na	15185	-0.8032124042510986	-0.013776407	No	
row_48	XM_047184932	na	15237	-0.8326005935668945	0.03223958	No	
